month,orgunit,MR1,DPT1
23-Jul,Kakumiro District,80,71
23-Jul,Mwitanzige Subcounty,265,107
23-Aug,Kakumiro District,67,72
23-Aug,Mwitanzige Subcounty,156,109
23-Sep,Kakumiro District,83,72
23-Sep,Mwitanzige Subcounty,183,108
23-Oct,Kakumiro District,75,80
23-Oct,Mwitanzige Subcounty,259,117
23-Nov,Kakumiro District,69,79
23-Nov,Mwitanzige Subcounty,252,135
23-Dec,Kakumiro District,66,66
23-Dec,Mwitanzige Subcounty,251,116
24-Jan,Kakumiro District,61,73
24-Jan,Mwitanzige Subcounty,184,125
24-Feb,Kakumiro District,76,81
24-Feb,Mwitanzige Subcounty,412,245
24-Mar,Kakumiro District,56,55
24-Mar,Mwitanzige Subcounty,181,107
24-Apr,Kakumiro District,77,72
24-Apr,Mwitanzige Subcounty,274,120
24-May,Kakumiro District,117,72
24-May,Mwitanzige Subcounty,280,121
24-Jun,Kakumiro District,103,70
24-Jun,Mwitanzige Subcounty,1265,114
